antecedent,consequent,support,confidence,lift
"['4', '34']","['30', '19']",0.1,0.37,1.18
"['4', '30']","['34', '19']",0.1,0.42,1.16
"['4', '19']","['34', '30']",0.1,0.44,1.2
"['30', '19']","['4', '34']",0.1,0.32,1.18
"['4', '34', '30']",['19'],0.1,0.6,1.11
"['4', '34', '19']",['30'],0.1,0.62,1.11
"['4', '30', '19']",['34'],0.1,0.72,1.12
"['34', '30', '19']",['4'],0.1,0.47,1.18
"['6', '4']","['34', '14']",0.12,0.52,1.09
"['6', '34']","['4', '14']",0.12,0.33,1.14
"['4', '14']","['6', '34']",0.12,0.4,1.14
"['4', '34']","['6', '14']",0.12,0.43,1.11
"['6', '4', '14']",['34'],0.12,0.71,1.11
"['6', '4', '34']",['14'],0.12,0.74,1.03
"['6', '34', '14']",['4'],0.12,0.44,1.1
"['34', '4', '14']",['6'],0.12,0.58,1.1
['4'],"['34', '14', '19']",0.12,0.31,1.14
"['4', '14']","['34', '19']",0.12,0.43,1.19
"['14', '19']","['4', '34']",0.12,0.31,1.15
"['4', '34']","['14', '19']",0.12,0.46,1.15
"['4', '19']","['34', '14']",0.12,0.54,1.15
"['34', '19']","['4', '14']",0.12,0.35,1.19
"['34', '4', '14']",['19'],0.12,0.62,1.15
"['4', '14', '19']",['34'],0.12,0.72,1.12
"['34', '14', '19']",['4'],0.12,0.45,1.14
"['4', '34', '19']",['14'],0.12,0.77,1.08
"['4', '14']","['34', '48']",0.11,0.38,1.19
"['48', '14']","['4', '34']",0.11,0.3,1.13
"['4', '48']","['34', '14']",0.11,0.55,1.16
"['4', '34']","['48', '14']",0.11,0.4,1.13
"['34', '48']","['4', '14']",0.11,0.34,1.19
"['4', '48', '14']",['34'],0.11,0.73,1.14
"['34', '4', '14']",['48'],0.11,0.54,1.13
"['34', '48', '14']",['4'],0.11,0.45,1.13
"['4', '48', '34']",['14'],0.11,0.78,1.08
"['6', '4']","['14', '30']",0.11,0.48,1.14
"['6', '30']","['4', '14']",0.11,0.35,1.22
"['4', '14']","['6', '30']",0.11,0.37,1.22
"['4', '30']","['6', '14']",0.11,0.45,1.15
"['6', '4', '14']",['30'],0.11,0.66,1.17
"['6', '4', '30']",['14'],0.11,0.77,1.07
"['6', '14', '30']",['4'],0.11,0.46,1.16
"['4', '14', '30']",['6'],0.11,0.59,1.11
"['4', '14']","['30', '19']",0.11,0.38,1.2
"['4', '30']","['14', '19']",0.11,0.45,1.13
"['4', '19']","['14', '30']",0.11,0.48,1.14
"['30', '19']","['4', '14']",0.11,0.35,1.2
"['4', '14', '30']",['19'],0.11,0.6,1.1
"['4', '14', '19']",['30'],0.11,0.63,1.12
"['4', '30', '19']",['14'],0.11,0.78,1.09
"['14', '30', '19']",['4'],0.11,0.45,1.15
"['4', '18']","['34', '14', '30']",0.1,0.34,1.22
"['4', '34']","['18', '14', '30']",0.1,0.37,1.2
"['4', '30']","['34', '18', '14']",0.1,0.41,1.15
"['4', '14']","['34', '18', '30']",0.1,0.35,1.28
"['34', '18', '30']","['4', '14']",0.1,0.37,1.28
"['4', '34', '18']","['14', '30']",0.1,0.49,1.16
"['18', '14', '30']","['4', '34']",0.1,0.32,1.2
"['4', '18', '30']","['34', '14']",0.1,0.58,1.22
"['4', '18', '14']","['34', '30']",0.1,0.46,1.24
"['34', '14', '30']","['4', '18']",0.1,0.35,1.22
"['4', '34', '30']","['18', '14']",0.1,0.6,1.14
"['4', '34', '14']","['18', '30']",0.1,0.5,1.26
"['4', '14', '30']","['34', '18']",0.1,0.54,1.17
"['34', '18', '14', '30']",['4'],0.1,0.46,1.17
"['4', '34', '18', '30']",['14'],0.1,0.8,1.12
"['4', '34', '18', '14']",['30'],0.1,0.63,1.12
"['4', '18', '14', '30']",['34'],0.1,0.73,1.13
"['4', '34', '14', '30']",['18'],0.1,0.78,1.1
['4'],['32'],0.17,0.42,1.03
['32'],['4'],0.17,0.41,1.03
['4'],['26'],0.17,0.43,1.05
['26'],['4'],0.17,0.42,1.05
"['4', '34']",['32'],0.12,0.44,1.07
"['4', '32']",['34'],0.12,0.7,1.1
"['34', '32']",['4'],0.12,0.43,1.08
['4'],"['34', '26']",0.12,0.3,1.12
"['4', '34']",['26'],0.12,0.44,1.08
"['4', '26']",['34'],0.12,0.7,1.09
"['34', '26']",['4'],0.12,0.44,1.12
"['4', '30']",['32'],0.1,0.43,1.04
"['4', '32']",['30'],0.1,0.62,1.09
"['30', '32']",['4'],0.1,0.42,1.07
"['4', '30']",['26'],0.11,0.46,1.11
"['4', '26']",['30'],0.11,0.64,1.14
"['30', '26']",['4'],0.11,0.45,1.14
"['6', '4']",['32'],0.1,0.45,1.1
"['6', '32']",['4'],0.1,0.43,1.1
"['4', '32']",['6'],0.1,0.6,1.14
['4'],"['14', '32']",0.12,0.31,1.05
['32'],"['4', '14']",0.12,0.3,1.04
"['4', '14']",['32'],0.12,0.43,1.04
"['4', '32']",['14'],0.12,0.74,1.03
"['14', '32']",['4'],0.12,0.42,1.05
"['6', '4']",['26'],0.1,0.45,1.09
"['6', '26']",['4'],0.1,0.45,1.15
"['4', '26']",['6'],0.1,0.59,1.11
['4'],"['14', '26']",0.13,0.33,1.07
['26'],"['4', '14']",0.13,0.31,1.09
"['4', '14']",['26'],0.13,0.45,1.09
"['4', '26']",['14'],0.13,0.75,1.05
"['14', '26']",['4'],0.13,0.42,1.07
"['4', '19']",['26'],0.11,0.46,1.12
"['26', '19']",['4'],0.11,0.45,1.14
"['4', '26']",['19'],0.11,0.61,1.14
['4'],['16'],0.2,0.51,1.0
['16'],['4'],0.2,0.4,1.0
"['1', '4']",['16'],0.11,0.52,1.02
"['1', '16']",['4'],0.11,0.4,1.01
"['4', '16']",['1'],0.11,0.55,1.05
['4'],"['18', '16']",0.15,0.39,1.05
"['4', '18']",['16'],0.15,0.53,1.03
"['4', '16']",['18'],0.15,0.75,1.07
"['18', '16']",['4'],0.15,0.42,1.05
['4'],"['34', '16']",0.14,0.36,1.08
"['4', '34']",['16'],0.14,0.53,1.03
"['4', '16']",['34'],0.14,0.7,1.09
"['34', '16']",['4'],0.14,0.43,1.08
['4'],"['30', '16']",0.13,0.32,1.1
"['4', '30']",['16'],0.13,0.52,1.02
"['4', '16']",['30'],0.13,0.62,1.1
"['30', '16']",['4'],0.13,0.44,1.1
['4'],"['14', '16']",0.15,0.39,1.02
"['4', '14']",['16'],0.15,0.53,1.03
"['4', '16']",['14'],0.15,0.75,1.05
"['14', '16']",['4'],0.15,0.4,1.02
"['4', '18']","['34', '16']",0.11,0.38,1.14
"['4', '34']","['18', '16']",0.11,0.41,1.11
"['4', '16']","['34', '18']",0.11,0.54,1.15
"['34', '16']","['4', '18']",0.11,0.33,1.14
"['4', '18', '34']",['16'],0.11,0.54,1.05
"['4', '18', '16']",['34'],0.11,0.72,1.12
"['4', '34', '16']",['18'],0.11,0.77,1.1
"['34', '18', '16']",['4'],0.11,0.45,1.13
"['4', '18']","['14', '16']",0.12,0.41,1.07
"['4', '14']","['18', '16']",0.12,0.41,1.11
"['4', '16']","['18', '14']",0.12,0.58,1.1
"['18', '16']","['4', '14']",0.12,0.32,1.11
"['14', '16']","['4', '18']",0.12,0.31,1.07
"['4', '18', '14']",['16'],0.12,0.54,1.05
"['4', '18', '16']",['14'],0.12,0.77,1.08
"['4', '14', '16']",['18'],0.12,0.77,1.1
"['18', '14', '16']",['4'],0.12,0.42,1.07
"['4', '14']","['34', '16']",0.11,0.38,1.13
"['4', '34']","['14', '16']",0.11,0.4,1.06
"['4', '16']","['34', '14']",0.11,0.53,1.12
"['34', '16']","['4', '14']",0.11,0.33,1.13
"['34', '4', '14']",['16'],0.11,0.54,1.05
"['4', '14', '16']",['34'],0.11,0.71,1.11
"['34', '14', '16']",['4'],0.11,0.42,1.07
"['4', '34', '16']",['14'],0.11,0.76,1.06
['4'],"['18', '26']",0.13,0.33,1.1
['26'],"['4', '18']",0.13,0.32,1.09
"['4', '18']",['26'],0.13,0.45,1.09
"['4', '26']",['18'],0.13,0.76,1.08
"['18', '26']",['4'],0.13,0.44,1.1
"['4', '18']","['14', '26']",0.1,0.36,1.16
"['4', '14']","['18', '26']",0.1,0.36,1.19
"['4', '26']","['18', '14']",0.1,0.6,1.14
"['18', '26']","['4', '14']",0.1,0.34,1.19
"['14', '26']","['4', '18']",0.1,0.34,1.16
"['4', '18', '14']",['26'],0.1,0.47,1.14
"['4', '18', '26']",['14'],0.1,0.79,1.1
"['4', '14', '26']",['18'],0.1,0.8,1.13
"['18', '14', '26']",['4'],0.1,0.44,1.12
['4'],"['16', '19']",0.12,0.31,1.09
"['4', '16']",['19'],0.12,0.6,1.12
"['4', '19']",['16'],0.12,0.54,1.05
"['16', '19']",['4'],0.12,0.43,1.09
"['4', '48']",['16'],0.1,0.52,1.02
"['4', '16']",['48'],0.1,0.5,1.05
"['48', '16']",['4'],0.1,0.41,1.04
['4'],"['6', '16']",0.12,0.3,1.09
"['6', '4']",['16'],0.12,0.54,1.04
"['6', '16']",['4'],0.12,0.43,1.09
"['4', '16']",['6'],0.12,0.59,1.11
['4'],"['18', '32']",0.13,0.32,1.05
['32'],"['4', '18']",0.13,0.31,1.06
"['4', '18']",['32'],0.13,0.44,1.06
"['4', '32']",['18'],0.13,0.75,1.07
"['18', '32']",['4'],0.13,0.42,1.05
['1'],['49'],0.2,0.39,1.01
['49'],['1'],0.2,0.53,1.01
['18'],['49'],0.28,0.4,1.03
['49'],['18'],0.28,0.73,1.03
['34'],['49'],0.25,0.4,1.02
['49'],['34'],0.25,0.65,1.02
['30'],['49'],0.23,0.41,1.05
['49'],['30'],0.23,0.59,1.05
['6'],['49'],0.21,0.41,1.05
['49'],['6'],0.21,0.55,1.05
['14'],['49'],0.29,0.4,1.04
['49'],['14'],0.29,0.74,1.04
['49'],['19'],0.22,0.56,1.05
['19'],['49'],0.22,0.41,1.05
['4'],['49'],0.16,0.4,1.03
['49'],['4'],0.16,0.41,1.03
['48'],['49'],0.19,0.4,1.03
['49'],['48'],0.19,0.49,1.03
['49'],"['1', '18']",0.15,0.4,1.02
"['1', '18']",['49'],0.15,0.4,1.02
"['1', '49']",['18'],0.15,0.75,1.07
"['18', '49']",['1'],0.15,0.54,1.05
['49'],"['1', '34']",0.14,0.36,1.02
"['1', '34']",['49'],0.14,0.4,1.02
"['1', '49']",['34'],0.14,0.68,1.06
"['34', '49']",['1'],0.14,0.55,1.06
['49'],"['1', '30']",0.13,0.33,1.06
"['1', '30']",['49'],0.13,0.41,1.06
"['1', '49']",['30'],0.13,0.62,1.1
"['49', '30']",['1'],0.13,0.55,1.07
['49'],"['6', '1']",0.12,0.3,1.06
"['6', '1']",['49'],0.12,0.41,1.06
"['6', '49']",['1'],0.12,0.54,1.05
"['1', '49']",['6'],0.12,0.57,1.08
['49'],"['1', '14']",0.15,0.4,1.04
"['1', '14']",['49'],0.15,0.41,1.04
"['1', '49']",['14'],0.15,0.76,1.05
"['14', '49']",['1'],0.15,0.54,1.03
['49'],"['1', '19']",0.12,0.3,1.06
"['1', '49']",['19'],0.12,0.58,1.07
"['1', '19']",['49'],0.12,0.41,1.06
"['49', '19']",['1'],0.12,0.54,1.04
"['1', '48']",['49'],0.1,0.4,1.03
"['1', '49']",['48'],0.1,0.5,1.04
"['48', '49']",['1'],0.1,0.53,1.03
['49'],"['34', '18']",0.19,0.48,1.04
"['34', '18']",['49'],0.19,0.4,1.04
"['34', '49']",['18'],0.19,0.74,1.05
"['18', '49']",['34'],0.19,0.66,1.04
['49'],"['18', '30']",0.17,0.43,1.08
"['18', '30']",['49'],0.17,0.42,1.08
"['49', '30']",['18'],0.17,0.72,1.03
"['18', '49']",['30'],0.17,0.59,1.04
['6'],"['18', '49']",0.16,0.31,1.1
['49'],"['6', '18']",0.16,0.42,1.1
"['6', '18']",['49'],0.16,0.43,1.1
"['6', '49']",['18'],0.16,0.76,1.08
"['18', '49']",['6'],0.16,0.58,1.1
['18'],"['14', '49']",0.22,0.31,1.08
['14'],"['18', '49']",0.22,0.31,1.08
['49'],"['18', '14']",0.22,0.56,1.07
"['18', '14']",['49'],0.22,0.42,1.07
"['18', '49']",['14'],0.22,0.77,1.08
"['14', '49']",['18'],0.22,0.76,1.08
['49'],"['18', '19']",0.17,0.43,1.09
['19'],"['18', '49']",0.17,0.31,1.11
"['18', '49']",['19'],0.17,0.6,1.11
"['18', '19']",['49'],0.17,0.42,1.09
"['49', '19']",['18'],0.17,0.77,1.09
['49'],"['4', '18']",0.12,0.3,1.05
"['4', '18']",['49'],0.12,0.41,1.05
"['4', '49']",['18'],0.12,0.74,1.06
"['18', '49']",['4'],0.12,0.42,1.06
['49'],"['18', '48']",0.14,0.36,1.04
"['18', '48']",['49'],0.14,0.4,1.04
"['48', '49']",['18'],0.14,0.74,1.04
"['18', '49']",['48'],0.14,0.5,1.04
['49'],"['34', '30']",0.15,0.39,1.05
"['34', '30']",['49'],0.15,0.41,1.05
"['49', '30']",['34'],0.15,0.66,1.02
"['34', '49']",['30'],0.15,0.59,1.05
['49'],"['6', '34']",0.15,0.38,1.07
"['6', '34']",['49'],0.15,0.41,1.07
"['6', '49']",['34'],0.15,0.68,1.06
"['34', '49']",['6'],0.15,0.58,1.09
['34'],"['14', '49']",0.19,0.3,1.04
['49'],"['34', '14']",0.19,0.49,1.04
"['34', '14']",['49'],0.19,0.4,1.04
"['34', '49']",['14'],0.19,0.76,1.06
"['14', '49']",['34'],0.19,0.67,1.04
['49'],"['34', '19']",0.15,0.39,1.07
"['34', '49']",['19'],0.15,0.59,1.1
"['34', '19']",['49'],0.15,0.42,1.07
"['49', '19']",['34'],0.15,0.68,1.07
"['4', '34']",['49'],0.11,0.42,1.07
"['4', '49']",['34'],0.11,0.71,1.1
"['34', '49']",['4'],0.11,0.44,1.12
['49'],"['34', '48']",0.13,0.34,1.06
"['34', '48']",['49'],0.13,0.41,1.06
"['34', '49']",['48'],0.13,0.51,1.07
"['48', '49']",['34'],0.13,0.68,1.07
['49'],"['6', '30']",0.13,0.34,1.11
"['6', '30']",['49'],0.13,0.43,1.11
"['6', '49']",['30'],0.13,0.62,1.1
"['49', '30']",['6'],0.13,0.58,1.1
['30'],"['14', '49']",0.18,0.32,1.09
['49'],"['14', '30']",0.18,0.46,1.08
"['14', '30']",['49'],0.18,0.42,1.08
"['49', '30']",['14'],0.18,0.77,1.08
"['14', '49']",['30'],0.18,0.61,1.09
['49'],"['30', '19']",0.14,0.35,1.12
"['49', '30']",['19'],0.14,0.6,1.11
"['30', '19']",['49'],0.14,0.44,1.12
"['49', '19']",['30'],0.14,0.63,1.12
"['4', '30']",['49'],0.1,0.43,1.1
"['49', '30']",['4'],0.1,0.45,1.14
"['4', '49']",['30'],0.1,0.65,1.15
['49'],"['48', '30']",0.12,0.31,1.1
"['48', '30']",['49'],0.12,0.43,1.1
"['49', '30']",['48'],0.12,0.53,1.1
"['48', '49']",['30'],0.12,0.63,1.12
['6'],"['14', '49']",0.16,0.31,1.08
['49'],"['6', '14']",0.16,0.42,1.09
"['6', '14']",['49'],0.16,0.42,1.09
"['6', '49']",['14'],0.16,0.77,1.07
"['14', '49']",['6'],0.16,0.57,1.08
['49'],"['6', '19']",0.13,0.33,1.09
"['6', '49']",['19'],0.13,0.59,1.09
"['6', '19']",['49'],0.13,0.42,1.09
"['49', '19']",['6'],0.13,0.58,1.09
"['6', '48']",['49'],0.11,0.43,1.1
"['6', '49']",['48'],0.11,0.51,1.06
"['48', '49']",['6'],0.11,0.57,1.08
['49'],"['14', '19']",0.17,0.44,1.1
['19'],"['14', '49']",0.17,0.32,1.1
"['14', '49']",['19'],0.17,0.59,1.1
"['14', '19']",['49'],0.17,0.43,1.1
"['49', '19']",['14'],0.17,0.78,1.09
['4'],"['14', '49']",0.12,0.31,1.06
['49'],"['4', '14']",0.12,0.31,1.08
"['4', '14']",['49'],0.12,0.42,1.08
"['4', '49']",['14'],0.12,0.76,1.06
"['14', '49']",['4'],0.12,0.42,1.06
['48'],"['14', '49']",0.15,0.31,1.06
['49'],"['48', '14']",0.15,0.38,1.06
"['48', '14']",['49'],0.15,0.41,1.06
"['48', '49']",['14'],0.15,0.77,1.07
"['14', '49']",['48'],0.15,0.51,1.06
"['48', '49']",['19'],0.11,0.57,1.05
"['48', '19']",['49'],0.11,0.41,1.04
"['49', '19']",['48'],0.11,0.49,1.03
"['1', '34']","['18', '49']",0.11,0.3,1.07
"['1', '49']","['34', '18']",0.11,0.52,1.11
"['34', '49']","['1', '18']",0.11,0.42,1.08
"['18', '49']","['1', '34']",0.11,0.38,1.07
"['1', '34', '18']",['49'],0.11,0.39,1.01
"['1', '34', '49']",['18'],0.11,0.76,1.08
"['1', '18', '49']",['34'],0.11,0.69,1.07
"['34', '18', '49']",['1'],0.11,0.56,1.09
['49'],"['1', '18', '14']",0.12,0.31,1.06
"['1', '18']","['14', '49']",0.12,0.31,1.08
"['1', '14']","['18', '49']",0.12,0.32,1.11
"['1', '49']","['18', '14']",0.12,0.59,1.12
"['18', '49']","['1', '14']",0.12,0.43,1.11
"['14', '49']","['1', '18']",0.12,0.42,1.08
"['1', '18', '14']",['49'],0.12,0.41,1.06
"['1', '18', '49']",['14'],0.12,0.78,1.09
"['1', '14', '49']",['18'],0.12,0.78,1.1
"['18', '14', '49']",['1'],0.12,0.55,1.06
"['1', '34']","['14', '49']",0.11,0.3,1.04
"['1', '49']","['34', '14']",0.11,0.52,1.09
"['34', '49']","['1', '14']",0.11,0.42,1.1
"['14', '49']","['1', '34']",0.11,0.37,1.04
"['1', '34', '14']",['49'],0.11,0.4,1.03
"['1', '34', '49']",['14'],0.11,0.76,1.06
"['1', '14', '49']",['34'],0.11,0.69,1.07
"['34', '14', '49']",['1'],0.11,0.55,1.06
"['1', '30']","['14', '49']",0.1,0.33,1.15
"['1', '49']","['14', '30']",0.1,0.5,1.2
"['14', '49']","['1', '30']",0.1,0.36,1.15
"['49', '30']","['1', '14']",0.1,0.45,1.18
"['1', '14', '30']",['49'],0.1,0.43,1.11
"['1', '14', '49']",['30'],0.1,0.67,1.18
"['1', '49', '30']",['14'],0.1,0.81,1.13
"['49', '14', '30']",['1'],0.1,0.58,1.12
"['34', '30']","['18', '49']",0.11,0.3,1.06
"['49', '30']","['34', '18']",0.11,0.48,1.03
"['34', '49']","['18', '30']",0.11,0.44,1.1
"['18', '49']","['34', '30']",0.11,0.39,1.06
"['34', '18', '30']",['49'],0.11,0.41,1.05
"['34', '49', '30']",['18'],0.11,0.73,1.04
"['18', '49', '30']",['34'],0.11,0.67,1.04
"['34', '18', '49']",['30'],0.11,0.59,1.04
"['6', '34']","['18', '49']",0.11,0.32,1.15
"['6', '49']","['34', '18']",0.11,0.53,1.14
"['34', '49']","['6', '18']",0.11,0.45,1.18
"['18', '49']","['6', '34']",0.11,0.4,1.15
"['6', '34', '18']",['49'],0.11,0.44,1.12
"['6', '34', '49']",['18'],0.11,0.78,1.11
"['6', '18', '49']",['34'],0.11,0.7,1.09
"['34', '18', '49']",['6'],0.11,0.61,1.15
['49'],"['34', '18', '14']",0.15,0.39,1.07
"['34', '18']","['14', '49']",0.15,0.32,1.11
"['34', '14']","['18', '49']",0.15,0.32,1.12
"['34', '49']","['18', '14']",0.15,0.59,1.12
"['18', '49']","['34', '14']",0.15,0.53,1.12
"['14', '49']","['34', '18']",0.15,0.52,1.11
"['34', '18', '14']",['49'],0.15,0.42,1.07
"['34', '18', '49']",['14'],0.15,0.8,1.11
"['34', '14', '49']",['18'],0.15,0.78,1.11
"['18', '14', '49']",['34'],0.15,0.68,1.07
"['34', '49']","['18', '19']",0.12,0.46,1.14
"['34', '19']","['18', '49']",0.12,0.32,1.13
"['18', '49']","['34', '19']",0.12,0.41,1.13
"['49', '19']","['34', '18']",0.12,0.53,1.13
"['34', '18', '49']",['19'],0.12,0.61,1.14
"['34', '18', '19']",['49'],0.12,0.42,1.08
"['34', '49', '19']",['18'],0.12,0.77,1.09
"['18', '49', '19']",['34'],0.12,0.68,1.07
['49'],"['18', '14', '30']",0.13,0.34,1.1
"['18', '30']","['14', '49']",0.13,0.33,1.16
"['14', '30']","['18', '49']",0.13,0.32,1.11
"['49', '30']","['18', '14']",0.13,0.58,1.1
"['18', '49']","['14', '30']",0.13,0.47,1.11
"['14', '49']","['18', '30']",0.13,0.46,1.16
"['18', '14', '30']",['49'],0.13,0.43,1.1
"['18', '49', '30']",['14'],0.13,0.8,1.12
"['49', '14', '30']",['18'],0.13,0.75,1.06
"['18', '14', '49']",['30'],0.13,0.61,1.08
"['49', '30']","['18', '19']",0.11,0.46,1.15
"['30', '19']","['18', '49']",0.11,0.33,1.18
"['18', '49']","['30', '19']",0.11,0.37,1.18
"['49', '19']","['18', '30']",0.11,0.48,1.21
"['18', '49', '30']",['19'],0.11,0.64,1.18
"['18', '30', '19']",['49'],0.11,0.45,1.14
"['49', '30', '19']",['18'],0.11,0.77,1.09
"['18', '49', '19']",['30'],0.11,0.62,1.11
['49'],"['6', '18', '14']",0.13,0.33,1.14
"['6', '18']","['14', '49']",0.13,0.33,1.16
"['6', '14']","['18', '49']",0.13,0.33,1.16
"['6', '49']","['18', '14']",0.13,0.6,1.13
"['18', '49']","['6', '14']",0.13,0.45,1.16
"['14', '49']","['6', '18']",0.13,0.44,1.16
"['6', '18', '14']",['49'],0.13,0.44,1.14
"['6', '18', '49']",['14'],0.13,0.78,1.09
"['6', '14', '49']",['18'],0.13,0.78,1.1
"['18', '14', '49']",['6'],0.13,0.58,1.11
['49'],"['18', '14', '19']",0.13,0.35,1.13
"['18', '49']","['14', '19']",0.13,0.47,1.19
"['18', '19']","['14', '49']",0.13,0.34,1.16
"['14', '49']","['18', '19']",0.13,0.46,1.16
"['14', '19']","['18', '49']",0.13,0.34,1.19
"['49', '19']","['18', '14']",0.13,0.61,1.16
"['18', '14', '49']",['19'],0.13,0.61,1.13
"['18', '14', '19']",['49'],0.13,0.44,1.13
"['18', '49', '19']",['14'],0.13,0.79,1.11
"['14', '49', '19']",['18'],0.13,0.79,1.11
"['18', '48']","['14', '49']",0.11,0.32,1.12
"['48', '14']","['18', '49']",0.11,0.32,1.12
"['48', '49']","['18', '14']",0.11,0.59,1.12
"['18', '49']","['48', '14']",0.11,0.4,1.12
"['14', '49']","['18', '48']",0.11,0.39,1.12
"['18', '48', '14']",['49'],0.11,0.42,1.07
"['18', '48', '49']",['14'],0.11,0.8,1.12
"['48', '14', '49']",['18'],0.11,0.77,1.09
"['18', '14', '49']",['48'],0.11,0.51,1.07
['49'],"['34', '14', '30']",0.12,0.3,1.07
"['34', '30']","['14', '49']",0.12,0.32,1.11
"['49', '30']","['34', '14']",0.12,0.51,1.08
"['34', '49']","['14', '30']",0.12,0.46,1.1
"['14', '49']","['34', '30']",0.12,0.41,1.11
"['34', '14', '30']",['49'],0.12,0.42,1.07
"['34', '49', '30']",['14'],0.12,0.78,1.09
"['49', '14', '30']",['34'],0.12,0.66,1.04
"['34', '14', '49']",['30'],0.12,0.61,1.09
"['6', '34']","['14', '49']",0.11,0.33,1.13
"['6', '49']","['34', '14']",0.11,0.53,1.13
"['34', '49']","['6', '14']",0.11,0.45,1.17
"['14', '49']","['6', '34']",0.11,0.4,1.13
"['6', '34', '14']",['49'],0.11,0.43,1.11
"['6', '34', '49']",['14'],0.11,0.79,1.1
"['6', '14', '49']",['34'],0.11,0.7,1.09
"['34', '14', '49']",['6'],0.11,0.6,1.13
['49'],"['34', '14', '19']",0.12,0.3,1.11
"['34', '49']","['14', '19']",0.12,0.47,1.17
"['34', '19']","['14', '49']",0.12,0.33,1.14
"['14', '49']","['34', '19']",0.12,0.41,1.14
"['49', '19']","['34', '14']",0.12,0.54,1.14
"['34', '14', '49']",['19'],0.12,0.62,1.14
"['34', '14', '19']",['49'],0.12,0.43,1.11
"['34', '49', '19']",['14'],0.12,0.79,1.1
"['14', '49', '19']",['34'],0.12,0.69,1.08
"['34', '48']","['14', '49']",0.1,0.32,1.11
"['34', '49']","['48', '14']",0.1,0.4,1.12
"['48', '49']","['34', '14']",0.1,0.53,1.12
"['14', '49']","['34', '48']",0.1,0.35,1.11
"['34', '48', '14']",['49'],0.1,0.42,1.07
"['34', '48', '49']",['14'],0.1,0.77,1.08
"['34', '14', '49']",['48'],0.1,0.53,1.1
"['48', '14', '49']",['34'],0.1,0.69,1.08
"['6', '30']","['14', '49']",0.11,0.35,1.21
"['6', '49']","['14', '30']",0.11,0.5,1.18
"['49', '30']","['6', '14']",0.11,0.47,1.2
"['14', '49']","['6', '30']",0.11,0.37,1.21
"['6', '14', '30']",['49'],0.11,0.46,1.17
"['6', '49', '30']",['14'],0.11,0.8,1.12
"['6', '14', '49']",['30'],0.11,0.65,1.15
"['49', '14', '30']",['6'],0.11,0.6,1.14
"['49', '30']","['14', '19']",0.11,0.48,1.2
"['30', '19']","['14', '49']",0.11,0.35,1.2
"['14', '49']","['30', '19']",0.11,0.38,1.2
"['49', '19']","['14', '30']",0.11,0.5,1.19
"['49', '14', '30']",['19'],0.11,0.62,1.15
"['14', '30', '19']",['49'],0.11,0.46,1.18
"['49', '30', '19']",['14'],0.11,0.8,1.11
"['14', '49', '19']",['30'],0.11,0.64,1.14
['49'],['26'],0.16,0.42,1.02
['26'],['49'],0.16,0.4,1.02
['49'],['16'],0.21,0.55,1.06
['16'],['49'],0.21,0.41,1.06
['49'],"['18', '26']",0.12,0.32,1.06
"['18', '49']",['26'],0.12,0.44,1.06
"['18', '26']",['49'],0.12,0.41,1.06
"['49', '26']",['18'],0.12,0.75,1.07
['49'],"['18', '16']",0.16,0.41,1.11
['16'],"['18', '49']",0.16,0.31,1.1
"['18', '49']",['16'],0.16,0.56,1.1
"['18', '16']",['49'],0.16,0.43,1.11
"['49', '16']",['18'],0.16,0.75,1.06
"['34', '49']",['26'],0.11,0.43,1.03
"['34', '26']",['49'],0.11,0.4,1.03
"['49', '26']",['34'],0.11,0.66,1.03
['49'],"['34', '16']",0.14,0.36,1.07
"['34', '49']",['16'],0.14,0.54,1.06
"['34', '16']",['49'],0.14,0.42,1.07
"['49', '16']",['34'],0.14,0.65,1.02
"['49', '30']",['26'],0.1,0.45,1.09
"['30', '26']",['49'],0.1,0.42,1.08
"['49', '26']",['30'],0.1,0.63,1.12
['49'],"['30', '16']",0.12,0.32,1.1
"['49', '30']",['16'],0.12,0.54,1.06
"['30', '16']",['49'],0.12,0.43,1.1
"['49', '16']",['30'],0.12,0.59,1.04
['49'],"['14', '26']",0.13,0.33,1.09
['26'],"['14', '49']",0.13,0.31,1.08
"['14', '49']",['26'],0.13,0.45,1.08
"['14', '26']",['49'],0.13,0.42,1.09
"['49', '26']",['14'],0.13,0.78,1.09
['49'],"['6', '16']",0.12,0.3,1.08
"['6', '49']",['16'],0.12,0.54,1.06
"['6', '16']",['49'],0.12,0.42,1.08
"['49', '16']",['6'],0.12,0.55,1.04
['49'],"['14', '16']",0.16,0.41,1.08
['16'],"['14', '49']",0.16,0.31,1.07
"['14', '49']",['16'],0.16,0.55,1.07
"['14', '16']",['49'],0.16,0.42,1.08
"['49', '16']",['14'],0.16,0.75,1.04
"['34', '49']","['18', '16']",0.11,0.42,1.14
"['34', '16']","['18', '49']",0.11,0.32,1.13
"['18', '49']","['34', '16']",0.11,0.38,1.13
"['49', '16']","['34', '18']",0.11,0.5,1.08
"['34', '18', '49']",['16'],0.11,0.57,1.1
"['34', '18', '16']",['49'],0.11,0.43,1.11
"['34', '49', '16']",['18'],0.11,0.77,1.09
"['18', '49', '16']",['34'],0.11,0.67,1.04
"['18', '49']","['14', '26']",0.1,0.36,1.17
"['18', '26']","['14', '49']",0.1,0.34,1.17
"['14', '49']","['18', '26']",0.1,0.35,1.17
"['14', '26']","['18', '49']",0.1,0.33,1.17
